name;tag;dob;pob;lat;lon;dep_num;dep_name;region;url
Marcel Morabito;scholar;1951.0;Hyères;43.116731;6.20255;83;Var;Provence-Alpes-Côte d'Azur;https://fr.wikipedia.org/wiki/Marcel_Morabito
Fañch Roudaut;scholar;1942.0;Toulon;43.136379;5.933443;83;Var;Provence-Alpes-Côte d'Azur;https://fr.wikipedia.org/wiki/Fa%C3%B1ch_Roudaut
Jacques Le Goff;scholar;1924.0;Toulon;43.136379;5.933443;83;Var;Provence-Alpes-Côte d'Azur;https://fr.wikipedia.org/wiki/Jacques_Le_Goff
Alain Séguy-Duclot;scholar;1961.0;Carcassonne;43.206781;2.349415;11;Aude;Occitanie;https://fr.wikipedia.org/wiki/Alain_S%C3%A9guy-Duclot
Christian Thibon;scholar;1952.0;Carcassonne;43.206781;2.349415;11;Aude;Occitanie;https://fr.wikipedia.org/wiki/Christian_Thibon
Raymonde Carasco;scholar;1939.0;Carcassonne;43.206781;2.349415;11;Aude;Occitanie;https://fr.wikipedia.org/wiki/Raymonde_Carasco
Jean Abadie;scholar;1873.0;Tarbes;43.239349;0.06402;65;Hautes-Pyrénées;Occitanie;https://fr.wikipedia.org/wiki/Jean_Abadie
Pierre Laurens;scholar;1931.0;Tarbes;43.239349;0.06402;65;Hautes-Pyrénées;Occitanie;https://fr.wikipedia.org/wiki/Pierre_Laurens
Charles Foulon;scholar;1912.0;Marseille;43.282;5.405;13;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;https://fr.wikipedia.org/wiki/Charles_Foulon
Charles Pietri;scholar;1932.0;Marseille;43.282;5.405;13;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;https://fr.wikipedia.org/wiki/Charles_Pietri
Gilles Pécout;scholar;1961.0;Marseille;43.282;5.405;13;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;https://fr.wikipedia.org/wiki/Gilles_P%C3%A9cout
Henri-Irénée Marrou;scholar;1977.0;Marseille;43.282;5.405;13;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;https://fr.wikipedia.org/wiki/Henri-Ir%C3%A9n%C3%A9e_Marrou
Jean Wahl;scholar;1888.0;Marseille;43.282;5.405;13;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;https://fr.wikipedia.org/wiki/Jean_Wahl
Jean-Pierre Cometti;scholar;1944.0;Marseille;43.282;5.405;13;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;https://fr.wikipedia.org/wiki/Jean-Pierre_Cometti
Jean-Pierre Giran;scholar;1947.0;Marseille;43.282;5.405;13;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;https://fr.wikipedia.org/wiki/Jean-Pierre_Giran
Jean-Robert Armogathe;scholar;1947.0;Marseille;43.282;5.405;13;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;https://fr.wikipedia.org/wiki/Jean-Robert_Armogathe
Joëlle Gardes;scholar;1945.0;Marseille;43.282;5.405;13;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;https://fr.wikipedia.org/wiki/Jo%C3%ABlle_Gardes
Luce Pietri;scholar;1931.0;Marseille;43.282;5.405;13;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;https://fr.wikipedia.org/wiki/Luce_Pietri
