dept_num;pob;cadres;activity_rate;tertiaire
1318;Rancé;3.8;81.6;50.4
1319;Relevant;5.8;80.6;24.6
1320;Replonges;3.6;80;61.6
1321;Revonnas;10.8;82.3;80
1322;Reyrieux;9.9;80.3;57.4
1323;Reyssouze;4.7;76.4;31.3
1325;Rignieux-le-Franc;8.7;81.2;51.7
1328;Romans;9.7;73.7;84
1329;Rossillon;8.5;75.5;50
1331;Saint-Alban;19;89.1;0
1332;Saint-André-de-Bâgé;9.8;85.2;65.5
1333;Saint-André-de-Corcy;9.7;81.7;79.7
1334;Saint-André-d'Huiriat;3.8;83.3;60.9
1335;Saint-André-le-Bouchoux;7.6;85;65.9
1336;Saint-André-sur-Vieux-Jonc;3.1;81.5;46.8
1337;Saint-Bénigne;4.5;78.1;77.9
1338;Groslée-Saint-Benoit;3.2;81.7;40.4
1339;Saint-Bernard;14.4;80.8;82.1
1342;Sainte-Croix;22.3;77.5;86.2
1343;Saint-Cyr-sur-Menthon;3.4;82.2;31.7
1344;Saint-Denis-lès-Bourg;6.9;76.7;72
1345;Saint-Denis-en-Bugey;3.8;76.7;77.4
1346;Saint-Didier-d'Aussiat;0;79.9;50
1347;Saint-Didier-de-Formans;9.7;79.9;68.1
1348;Saint-Didier-sur-Chalaronne;5;80.1;63.7
1349;Saint-Éloi;9.7;79.2;54.5
1350;Saint-Étienne-du-Bois;8.9;80.5;64.5
1351;Saint-Étienne-sur-Chalaronne;6.5;79;61.9
1352;Saint-Étienne-sur-Reyssouze;4.4;85.9;85.7
1353;Sainte-Euphémie;12.6;81.9;83.4
1354;Saint-Genis-Pouilly;14;80.1;80.5
1355;Saint-Genis-sur-Menthon;7.2;83.3;61.3
1356;Saint-Georges-sur-Renon;11;83.2;51.7
1357;Saint-Germain-de-Joux;12.9;78.6;65.5
1358;Saint-Germain-les-Paroisses;2.7;71.7;83.3
1359;Saint-Germain-sur-Renon;10.5;87.7;45.7
1360;Saint-Jean-de-Gonville;12.1;82.5;71.1
1361;Saint-Jean-de-Niost;8.7;79.2;60.7
1362;Saint-Jean-de-Thurigneux;9.3;79.2;67.9
1363;Saint-Jean-le-Vieux;6.9;79.9;52.5
1364;Saint-Jean-sur-Reyssouze;5.1;82.5;37.5
1365;Saint-Jean-sur-Veyle;6.5;80.7;51.2
1366;Sainte-Julie;8.4;84.3;28.5
1367;Saint-Julien-sur-Reyssouze;5.2;80.8;44
1368;Saint-Julien-sur-Veyle;5.8;80.7;62.2
1369;Saint-Just;9.3;74.2;79.9
1370;Saint-Laurent-sur-Saône;6.1;83.1;90.8
1371;Saint-Marcel;12.8;81.3;68.8
1372;Saint-Martin-de-Bavel;8.8;78.3;76.7
1373;Saint-Martin-du-Frêne;3.6;79.2;54.1
1374;Saint-Martin-du-Mont;6.4;82.5;64.6
1375;Saint-Martin-le-Châtel;6.5;77.6;24.8
1376;Saint-Maurice-de-Beynost;7.4;78.4;54.2
1378;Saint-Maurice-de-Gourdans;13.3;82.9;66.1
1379;Saint-Maurice-de-Rémens;3.4;83.1;82.3
1380;Saint-Nizier-le-Bouchoux;1.7;75.1;62.4
1381;Saint-Nizier-le-Désert;4.7;83.7;62.9
1382;Sainte-Olive;7.3;83.8;63.2
1383;Saint-Paul-de-Varax;5.4;82.8;80.1
1384;Saint-Rambert-en-Bugey;1.6;75.9;71.8
1385;Saint-Rémy;12.1;80.9;39.5
1386;Saint-Sorlin-en-Bugey;9.7;77.9;72.6
1387;Saint-Sulpice;0;83.6;54.5
1388;Saint-Trivier-de-Courtes;3.1;79;71.6
1389;Saint-Trivier-sur-Moignans;4.3;82.9;66.8
1390;Saint-Vulbas;7.3;85.6;56.4
1391;Salavre;21.6;82;33.3
1392;Samognat;9.4;81.5;89.3
1393;Sandrans;4.3;80.2;44.6
1396;Sault-Brénaz;2.4;79.3;46.9
1397;Sauverny;13.8;79.5;83.9
1398;Savigneux;7.8;83.5;44.4
1399;Ségny;8.4;84.1;94.1
1400;Seillonnaz;9.3;71.1;0
1401;Sergy;16.3;78.8;85.1
1402;Sermoyer;5.1;83.4;66.3
1403;Serrières-de-Briord;6.1;78;84.1
1404;Serrières-sur-Ain;0;80.5;0
1405;Servas;4.2;79.9;42.4
1406;Servignat;0;81.7;100
1407;Seyssel;6.5;81.2;82.4
1408;Simandre-sur-Suran;1.8;78.1;41.7
1410;Sonthonnax-la-Montagne;8.2;87.5;56.8
1411;Souclin;4.5;85.1;73.8
1412;Sulignat;4.3;81.6;51.4
1415;Talissieu;8.8;68.2;96.8
1416;Tenay;6.9;75.5;64.7
1418;Thil;25.4;82.2;59.9
1419;Thoiry;15.4;81.7;90.4
1420;Thoissey;3.9;78.6;95.2
1421;Torcieu;1.6;78.2;15.6
1422;Tossiat;12.5;83.7;72.2
1423;Toussieux;14.1;82.7;82.3
1424;Tramoyes;11.2;81.5;77.5
1425;La Tranclière;8.4;83.9;62.5
1426;Val-Revermont;5.3;80.2;46.2
1427;Trévoux;8.8;78.6;70.5
1428;Valeins;8.7;77.1;0
1429;Vandeins;4.8;82.7;66.3
1430;Varambon;11.7;81.9;47.1
1431;Vaux-en-Bugey;10.3;82.6;55.7
1432;Verjon;12.9;85.9;68.6
1433;Vernoux;0;82.2;100
1434;Versailleux;22.2;89.9;86.5
1435;Versonnex;8.2;80.3;82.1
1436;Vesancy;4.6;79.9;100
1437;Vescours;0;80;0
1439;Vésines;0;93;8.3
1441;Vieu-d'Izenave;6.7;82.6;20.5
1443;Villars-les-Dombes;7.3;80.3;87.8
1444;Villebois;4.3;79;71.2
1445;Villemotier;2.2;80.2;55.1
1446;Villeneuve;6.7;85.2;59.6
1447;Villereversure;4.3;79.4;72.1
1448;Villes;13.1;85.7;104
1449;Villette-sur-Ain;21.1;77.6;75.5
1450;Villieu-Loyes-Mollon;9.2;80.1;56
1451;Viriat;6.5;76.4;77.3
1452;Virieu-le-Grand;4.4;77.2;76.4
1453;Arvière-en-Valromey;9.9;78.2;70.9
1454;Virignin;3.3;77.7;74.3
1456;Vongnes;16.7;90.6;0
1457;Vonnas;3.4;78.8;57.1
2001;Abbécourt;2.6;77.4;24.2
2002;Achery;6.4;76.2;50.9
2003;Acy;4.7;78.9;53.7
2004;Agnicourt-et-Séchelles;0;73.9;37.5
2005;Aguilcourt;9.5;83.1;16.7
2006;Aisonville-et-Bernoville;0;74.1;69.4
2007;Aizelles;10.9;74.4;0
2008;Aizy-Jouy;4.1;80.6;50
2009;Alaincourt;7.8;82.1;100
2010;Allemant;0;79.1;73.1
2011;Ambleny;6.8;80.2;56.1
2012;Ambrief;16.9;87.5;100
2013;Amifontaine;0;75;61
2014;Amigny-Rouy;0;77.1;42.4
2015;Ancienville;0;79.2;N/A - division par 0
2016;Andelain;6.1;77.7;33.3
2017;Anguilcourt-le-Sart;4.9;81;80
2018;Anizy-le-Grand;3.6;71.8;75.4
2019;Annois;0;72.6;57.1
2020;Any-Martin-Rieux;0;71.1;46.2
2021;Archon;16.7;73.5;0
2022;Arcy-Sainte-Restitue;6.5;79.8;58.6
2023;Armentières-sur-Ourcq;11.4;85;27.3
2024;Arrancy;0;84.6;N/A - division par 0
2025;Artemps;7.1;81.9;51.6
2027;Assis-sur-Serre;0;77.8;26.5
2028;Athies-sous-Laon;4.8;76.4;50.2
2029;Attilly;0;76.7;40
2030;Aubencheul-aux-Bois;0;73;55.6
2031;Aubenton;1.8;79;77.7
2032;Aubigny-aux-Kaisnes;4.8;79.6;37.5
2033;Aubigny-en-Laonnois;11.8;80.3;100
2034;Audignicourt;0;83.3;0
2035;Audigny;0;76.9;47.6
2036;Augy;0;79.5;64.7
2037;Aulnois-sous-Laon;1.9;77.5;73.9
2038;Les Autels;0;75;0
2039;Autremencourt;0;73.7;0
2040;Autreppes;6.6;79.1;38.5
2041;Autreville;15.3;76.7;85.5
2042;Azy-sur-Marne;3;75.1;40.5
2043;Bagneux;0;65.9;65.8
2044;Bancigny;0;63.6;50
2046;Barenton-Bugny;14.8;76.9;84.4
2047;Barenton-Cel;10.3;80.5;77.8
2048;Barenton-sur-Serre;0;88.8;N/A - division par 0
2049;Barisis-aux-Bois;3.3;79.9;73
2050;Barzy-en-Thiérache;0;82.1;31
2051;Barzy-sur-Marne;6;80.8;38.2
2052;Bassoles-Aulers;0;69.7;55.6
2053;Vallées en Champagne;2;80.3;31.2
2054;Bazoches-et-Saint-Thibaut;7.7;81.3;54.7
2055;Beaumé;16.7;80.9;79.3
2056;Beaumont-en-Beine;7.1;82.1;100
2057;Beaurevoir;1.9;72.2;75.9
2058;Beaurieux;3;80.4;72.4
2059;Beautor;1.5;69.3;58.5
2060;Beauvois-en-Vermandois;0;81.4;29.2
2061;Becquigny;4.7;74.4;66.7
2062;Belleau;10.3;81.2;100
2063;Bellenglise;0;82.6;25
2064;Belleu;4.2;72.2;86.2
2065;Bellicourt;4.6;76.2;74
2066;Benay;0;62.5;28.8
2067;Bergues-sur-Sambre;5.7;68.8;47.6
2068;Berlancourt;0;86.4;76.5
2069;Berlise;0;60.3;45.5
2070;Bernot;8.7;72.7;54.3
2071;Berny-Rivière;3.8;80.9;100
2072;Berrieux;7.9;83.9;66.7
2073;Berry-au-Bac;1.8;78.6;71.3
2074;Bertaucourt-Epourdon;0;76.1;77.8
2075;Berthenicourt;17.9;79.5;64.3
2076;Bertricourt;15.4;83.3;0
2078;Besmé;0;73.3;73.3
2079;Besmont;0;78.6;33.3
2080;Besny-et-Loizy;7.2;77.5;62.5
2081;Béthancourt-en-Vaux;0;76.5;65.4
2082;Beugneux;0;83.1;34.5
2083;Beuvardes;3.5;81.4;80.8
2084;Bézu-le-Guéry;0;83.6;35.5
2085;Bézu-Saint-Germain;6.8;78.7;74.1
2086;Bichancourt;6.1;74;47.5
2087;Bieuxy;0;85;N/A - division par 0
2088;Bièvres;14.3;66.7;100
2089;Billy-sur-Aisne;4.4;82.6;59.6
2090;Billy-sur-Ourcq;6.2;75.2;60
2091;Blanzy-lès-Fismes;0;83.7;66.7
2093;Blérancourt;4.1;72.9;88.3
2094;Blesmes;8.7;74.1;68.4
2095;Bohain-en-Vermandois;0.7;61.4;75.3
2096;Bois-lès-Pargny;0;79.5;26.3
2097;Boncourt;4.7;75.2;39.2
2098;Bonneil;20.5;81.1;81.2
2099;Bonnesvalyn;10.8;77.2;100
2100;Bony;10.3;72.7;52.4
2101;Bosmont-sur-Serre;0;74.7;90.9
2102;Bouconville-Vauclair;0;70.6;72.2
2103;Boué;2.8;74.6;23.3
2104;Bouffignereux;0;79.3;66.7
2105;Bouresches;0;75.7;17.8
2106;Bourg-et-Comin;1.5;76.7;82.5
2107;Bourguignon-sous-Coucy;0;66.7;66.7
2108;Bourguignon-sous-Montbavin;9.4;88.4;N/A - division par 0
2109;La Bouteille;5.4;77.7;60.2
2110;Braine;3.2;74.2;72.6
2111;Brancourt-en-Laonnois;1.7;75;68.9
2112;Brancourt-le-Grand;4.3;84.4;51.2
2114;Brasles;4;76.3;82.2
2115;Braye-en-Laonnois;0;80.5;43.6
2116;Braye-en-Thiérache;0;60.3;22.7
2117;Bray-Saint-Christophe;13.1;74;66.7
