name;tag;dob;pob
Jean-dominique Senard;executive;1953;Neuilly-sur-Seine
Jean-laurent Bonnafe;executive;1961;Albi
Jean-marc Chéry;executive;1960;Orléans
Jean-michel Gras;executive;1946;Morlaix
Jean-michel Severino;executive;1957;Abidjan
Jean-paul Agon;executive;1956;Boulogne-Billancourt
Jean-philippe Thierry;executive;1948;Paris 17
Jean-pierre Gaillard;executive;1939;Paris
Jean-victor Meyers;executive;1986;Neuilly-sur-Seine
Jeremy Chauveau;executive;1945;Bourg-en-Bresse
Johan Praud;executive;1964;Nantes
John Harrison;executive;1693;Foulby dans le comté
José Duran;executive;1964;Madrid
Jules Niel;executive;1967;Maisons-Alfort
Julia Marton-Lefevre;executive;1946;Budapest
Julien Tanguy;executive;1825;Plédran en Bretagne
Juliette Favre;executive;1836;Verberie
Juliette Favre;executive;1836;Verberie
Katherine Fleming;executive;1881;Darvel
Lars Wagner;executive;1813;Leipzig
Laurence Boone;executive;1969;Boulogne-Billancourt
Laurence Danon;executive;1956;Bordeaux
Laurent Dassault;executive;1953;Neuilly-sur-Seine
Laurent Dupont;executive;1996;Lannemezan
Laurent Mignon;executive;1963;Paris
Laurent Mignon;executive;1963;Paris
Laurent Mignon;executive;1963;Paris
Laurent Mignon;executive;1963;Paris
Laurent Pietraszewski;executive;1966;Saint-Denis
Laurent Seyer;executive;1965;Montreuil (Seine-Saint-Denis)
Legrand;executive;1952;Paris 17
Leonardo Del-Vecchio;executive;1935;Milan
Lionel Duparay;executive;1981;Châtenay-Malabry
Lionel Zinsou-Derlin;executive;1954;Paris
Loic Rocard;executive;1972;Neuilly-sur-Seine
Lorenzo Bini-Smaghi;executive;1956;Florence
Lorenzo Rosso;executive;1494;Florence
Louis Richard;executive;1795;Rennes
Louis Schweitzer;executive;1942;Genève
Louise Frechette;executive;1946;Montréal
Louise Frechette;executive;1946;Montréal
Luc Remont;executive;1969;Nancy
Luca De-Meo;executive;1967;Milan
Luca De-Meo;executive;1967;Milan
Magali Vallee;executive;1966;Ajaccio
Mahkameh Brunel;executive;1956;Téhéran
Marc Aubry;executive;1966;Lyon
Marc Aubry;executive;1966;Lyon
Marc Ladreit-De-Lacharriere;executive;1940;Nice
Marco Villa;executive;1969;Abbiategrasso
Maria Erra;executive;1954;Sabadell
Maria Van-Der-Hoeven;executive;1949;Meerssen
Marie Coisne;executive;1956;Maubeuge
