name;tag;dob;pob
Louis Terrenoire;ministre;1908;Lyon
Louis Terrenoire;ministre;1908;Lyon
Louis Terrenoire;ministre;1908;Lyon
Catherine Tasca;ministre;1941;Lyon
Dominique Perben;ministre;1945;Lyon
Dominique Perben;ministre;1945;Lyon
Catherine Tasca;ministre;1941;Lyon
Dominique Perben;ministre;1945;Lyon
Dominique Perben;ministre;1945;Lyon
Dominique Perben;ministre;1945;Lyon
Dominique Perben;ministre;1945;Lyon
Jacques Foccart;ministre;1913;Ambrières-les-Vallées
Valérie Giscard d'Estaing;ministre;1953;Paris
Valérie Giscard d'Estaing;ministre;1953;Paris
Valérie Giscard d'Estaing;ministre;1953;Paris
Georgina Dufoix;ministre;1942;Paris
Alain Calmat;ministre;1940;Paris
Georgina Dufoix;ministre;1942;Paris
Frédérique Bredin;ministre;1956;Paris
Frédérique Bredin;ministre;1956;Paris
Philippe Vasseur;ministre;1943;Paris
Philippe Vasseur;ministre;1943;Paris
Alain Richard;ministre;1945;Paris
Alain Richard;ministre;1945;Paris
Maurice Leroy;ministre;1959;Paris
Maurice Leroy;ministre;1959;Paris
Jean-Michel Blanquer;ministre;1964;Paris
Agnès Buzyn;ministre;1962;Paris
Jean-Michel Blanquer;ministre;1964;Paris
Agnès Buzyn;ministre;1962;Paris
Marlène Schiappa;ministre;1982;Paris
Clément Beaune;ministre;1981;Paris
Clément Beaune;ministre;1981;Paris
Stanislas Guerini;ministre;1982;Paris
Olivia Grégoire;ministre;1978;Paris
Olivia Grégoire;ministre;1978;Paris
Stanislas Guérini;ministre;1982;Paris
Nicole Belloubet;ministre;1955;Paris
Olivia Grégoire;ministre;1978;Paris
Stanislas Guérini;ministre;1982;Paris
Antoine Armand;ministre;1991;Paris
Benjamin Haddad;ministre;1985;Paris
Benjamin Haddad;ministre;1985;Paris
Philippe Baptiste;ministre;1972;Paris
Juliette Meadel;ministre;1974;Paris
David Amiel;ministre;1992;Paris
Benjamin Haddad;ministre;1985;Paris
Nicolas Forissier;ministre;1961;Paris
Philippe Baptiste;ministre;1972;Paris
Vincent Jeanbrun;ministre;1984;Paris
Edgar Pisani;ministre;1918;Tunis
Edgar Pisani;ministre;1918;Tunis
Edgar Pisani;ministre;1918;Tunis
Edgar Pisani;ministre;1918;Tunis
Edgar Pisani;ministre;1918;Tunis
Edgard Pisani;ministre;1918;Tunis
Philippe Séguin;ministre;1943;Tunis
Roger Romani;ministre;1934;Tunis
Roger Romani;ministre;1934;Tunis
Pierre Lellouche;ministre;1951;Tunis
Joseph Fontanet;ministre;1921;Frontenex
Joseph Fontanet;ministre;1921;Frontenex
Joseph Fontanet;ministre;1921;Frontenex
Joseph Fontanet;ministre;1921;Frontenex
Joseph Fontanet;ministre;1921;Frontenex
Joseph Fontanet;ministre;1921;Frontenex
Joseph Fontanet;ministre;1921;Frontenex
Jean Foyer;ministre;1921;Contigné
Jean Foyer;ministre;1921;Contigné
Jean Foyer;ministre;1921;Contigné
Jean Foyer;ministre;1921;Contigné
Jean Foyer;ministre;1921;Contigné
Jean Foyer;ministre;1921;Contigné
Raymond Marcellin;ministre;1914;Sézanne
Raymond Marcellin;ministre;1914;Sézanne
Raymond Marcellin;ministre;1914;Sézanne
Raymond Marcellin;ministre;1914;Sézanne
Raymond Marcellin;ministre;1914;Sézanne
Raymond Marcellin;ministre;1914;Sézanne
Raymond Marcellin;ministre;1914;Sézanne
Raymond Marcellin;ministre;1914;Sézanne
Raymond Marcellin;ministre;1914;Sézanne
Raymond Marcellin;ministre;1914;Sézanne
Jacques Marette;ministre;1922;Paris 16
Jacques Marette;ministre;1922;Paris 16
Pierre Billotte;ministre;1906;Paris 16
Jacques Marette;ministre;1922;Paris 16
Pierre Billotte;ministre;1906;Paris 16
Maurice Schumann;ministre;1911;Paris 16
Maurice Schumann;ministre;1911;Paris 16
Maurice Schumann;ministre;1911;Paris 16
Maurice Schumann;ministre;1911;Paris 16
Maurice Schumann;ministre;1911;Paris 16
Hubert Germain;ministre;1920;Paris 16
Jean Taittinger;ministre;1923;Paris 16
Hubert Germain;ministre;1920;Paris 16
Philippe Malaud;ministre;1925;Paris 16
Jean Taittinger;ministre;1923;Paris 16
Hubert Germain;ministre;1920;Paris 16
Jean-Jacques Servan-Schreiber;ministre;1924;Paris 16
Jean-François Poncet;ministre;1928;Paris 16
Laurent Fabius;ministre;1946;Paris 16
Claude Cheysson;ministre;1920;Paris 16
Laurent Fabius;ministre;1946;Paris 16
Claude Cheysson;ministre;1920;Paris 16
Robert Badinter;ministre;1928;Paris 16
Claude Cheysson;ministre;1920;Paris 16
Laurent Fabius;ministre;1946;Paris 16
Robert Badinter;ministre;1928;Paris 16
Claude Cheysson;ministre;1920;Paris 16
Robert Badinter;ministre;1928;Paris 16
François Doubin;ministre;1933;Paris 16
Laurent Fabius;ministre;1946;Paris 16
Frédéric Mitterrand;ministre;1947;Paris 16
Frédéric Mitterrand;ministre;1947;Paris 16
Frédéric Mitterrand;ministre;1947;Paris 16
Frédéric Mitterrand;ministre;1947;Paris 16
Laurent Fabius;ministre;1946;Paris 16
Laurent Fabius;ministre;1946;Paris 16
Laurent Fabius;ministre;1946;Paris 16
Caroline Cayeux;ministre;1948;Paris 16
Roger Dusseaulx;ministre;1913;Paris 12
Roger Dusseaulx;ministre;1913;Paris 12
Christian Bonnet;ministre;1921;Paris 12
Christian Bonnet;ministre;1921;Paris 12
Christian Bonnet;ministre;1921;Paris 12
Christian Bonnet;ministre;1921;Paris 12
Christian Bonnet;ministre;1921;Paris 12
Christian Bonnet;ministre;1921;Paris 12
Louis Mermaz;ministre;1931;Paris 12
Jean-Bernard Raimond;ministre;1926;Paris 12
Alain Madelin;ministre;1946;Paris 12
Louis Mermaz;ministre;1931;Paris 12
Louis Mermaz;ministre;1931;Paris 12
Louis Mermaz;ministre;1931;Paris 12
Louis Mermaz;ministre;1931;Paris 12
Louis Mermaz;ministre;1931;Paris 12
Alain Madelin;ministre;1946;Paris 12
Alain Madelin;ministre;1946;Paris 12
François Barouin;ministre;1965;Paris 12
François Barouin;ministre;1965;Paris 12
François Barouin;ministre;1965;Paris 12
François Barouin;ministre;1965;Paris 12
Delphine Batho;ministre;1973;Paris 12
Agnès Pannier-Runacher;ministre;1974;Paris 12
François Durovray;ministre;1971;Paris 12
Jacques Maziol;ministre;1918;Aurillac
Jacques Maziol;ministre;1918;Aurillac
Jacques Mézard;ministre;1947;Aurillac
Jacques Mézard;ministre;1947;Aurillac
Pierre Pflimlin;ministre;1907;Roubaix
Georges Gorse;ministre;1915;Cahors
Georges Gorse;ministre;1915;Cahors
Georges Gorse;ministre;1915;Cahors
Georges Gorse;ministre;1915;Cahors
Julien Denormandie;ministre;1980;Cahors
Christian Fouchet;ministre;1911;Saint-Germain-en-Laye
Christian Fouchet;ministre;1911;Saint-Germain-en-Laye
Christian Fouchet;ministre;1911;Saint-Germain-en-Laye
Olga Givernet;ministre;1981;Saint-Germain-en-Laye
Marc Jacquet;ministre;1913;Mercy-le-Bas
Alain Peyrefitte;ministre;1925;Najac
Alain Peyrefitte;ministre;1925;Najac
Alain Peyrefitte;ministre;1925;Najac
Alain Peyrefitte;ministre;1925;Najac
Alain Peyrefitte;ministre;1925;Najac
Alain Peyrefitte;ministre;1925;Najac
Alain Peyrefitte;ministre;1925;Najac
Jean Sainteny;ministre;1907;Le Vésinet
Edgar Faure;ministre;1908;Béziers
Edgar Faure;ministre;1908;Béziers
Edgar Faure;ministre;1908;Béziers
Edgar Faure;ministre;1908;Béziers
Bernard Pons;ministre;1926;Béziers
Bernard Pons;ministre;1926;Béziers
Jean-Claude Gayssot;ministre;1944;Béziers
Jean-Claude Gayssot;ministre;1944;Béziers
marie-Arlette Carlotti;ministre;1952;Béziers
Alexandre Sanguinetti;ministre;1913;Le Caire
Olivier Guichard;ministre;1920;Néac
Olivier Guichard;ministre;1920;Néac
Olivier Guichard;ministre;1920;Néac
Olivier Guichard;ministre;1920;Néac
Olivier Guichard;ministre;1920;Néac
Olivier Guichard;ministre;1920;Néac
Olivier Guichard;ministre;1920;Néac
Olivier Guichard;ministre;1920;Néac
Yves Guéna;ministre;1922;Saint-Pierre-Quilbignon
Yves Guéna;ministre;1922;Saint-Pierre-Quilbignon
Jean Chamant;ministre;1913;Chagny
Jean Chamant;ministre;1913;Chagny
Jean Chamant;ministre;1913;Chagny
Henri Duvillard;ministre;1910;Luxeuil-les-Bains
Henri Duvillard;ministre;1910;Luxeuil-les-Bains
Henri Duvillard;ministre;1910;Luxeuil-les-Bains
Henri Duvillard;ministre;1910;Luxeuil-les-Bains
François-Xavier Ortoli;ministre;1925;Ajaccio
François-Xavier Ortoli;ministre;1925;Ajaccio
François-Xavier Ortoli;ministre;1925;Ajaccio
Laurent Marcangeli;ministre;1980;Ajaccio
Robert Galley;ministre;1921;Paris 5
Robert Galley;ministre;1921;Paris 5
Robert Galley;ministre;1921;Paris 5
