name,tag,dob,pob,dept_num,dept_ob,region,lat,lon,confidence
Jean Yves Le Drian,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jean Michel Blanquer,ministre,Not found,Not found,foreign,foreign,foreign,,,
Eric Dupont Moretti,ministre,Not found,Not found,foreign,foreign,foreign,,,
Frédérique Vidal (Mme),ministre,Not found,Not found,foreign,foreign,foreign,,,
Amélie De Montchalin,ministre,Not found,Not found,foreign,foreign,foreign,,,
Marc Fresneau,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jean Baptiste Djebbari,ministre,Not found,Not found,foreign,foreign,foreign,,,
Agnès Pannier Runacher,ministre,Not found,Not found,foreign,foreign,foreign,,,
Isabelle Rome,ministre,Not found,Not found,foreign,foreign,foreign,,,
Olivier Veran,ministre,Not found,Not found,foreign,foreign,foreign,,,
Olivier Brecht,ministre,Not found,Not found,foreign,foreign,foreign,,,
Amélie De Monchalin,ministre,Not found,Not found,foreign,foreign,foreign,,,
François Carenco,ministre,Not found,Not found,foreign,foreign,foreign,,,
Amelie Oudea-Castera,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jean Noel Barrot,ministre,Not found,Not found,foreign,foreign,foreign,,,
Olivier Veran,ministre,Not found,Not found,foreign,foreign,foreign,,,
Gérard Darmanin,ministre,Not found,Not found,foreign,foreign,foreign,,,
Dominique Faure Mme),ministre,Not found,Not found,foreign,foreign,foreign,,,
Marc Faisneau,ministre,Not found,Not found,foreign,foreign,foreign,,,
Agnes Pannier-Runacher,ministre,Not found,Not found,foreign,foreign,foreign,,,
Aurelien Rousseau,ministre,Not found,Not found,foreign,foreign,foreign,,,
Agnes Firmin-Lebodo,ministre,Not found,Not found,foreign,foreign,foreign,,,
Aurore Berger,ministre,Not found,Not found,foreign,foreign,foreign,,,
Fabila Khatabi,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jean Noel Barrot,ministre,Not found,Not found,foreign,foreign,foreign,,,
Eric Dupond Moretti,ministre,Not found,Not found,foreign,foreign,foreign,,,
Dominique Faure (Mme),ministre,Not found,Not found,foreign,foreign,foreign,,,
Marc Fesneaux,ministre,Not found,Not found,foreign,foreign,foreign,,,
Fabila Khattabi,ministre,Not found,Not found,foreign,foreign,foreign,,,
