name;tag;dob;pob;dept_num;dept_ob;region;lat;lon;confidence
Umberto Eco;college_de_france;1932;Alexandrie;85;Vendée;Pays de la Loire;46.832106;-1.482419;0.953
François-Xavier Coquin;college_de_france;1931;La Roche-sur-Yon;85;Vendée;Pays de la Loire;46.670848;-1.412533;0.954
Jacques Gernet;college_de_france;1921;Alger;53;Mayenne;Pays de la Loire;48.334676;-0.546793;0.943
Pierre Toubert;college_de_france;1932;Alger;53;Mayenne;Pays de la Loire;48.334676;-0.546793;0.943
Roger Guesnerie;college_de_france;1943;Sainte-Gemmes-le-Robe;53;Mayenne;Pays de la Loire;48.202085;-0.370122;0.843
Henri Leridon;college_de_france;1942;Alger;53;Mayenne;Pays de la Loire;48.334676;-0.546793;0.943
Paul-Marie Veyne;college_de_france;1930;Aix-en-Provence;13;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;43.541369;5.406124;0.958
Jean Irigoin;college_de_france;1920;Aix-en-Provence;13;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;43.541369;5.406124;0.958
Marc Fumaroli;college_de_france;1932;Marseille;13;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;43.282;5.405;0.966
Pierre Magistretti;college_de_france;1952;Milan;13;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;43.419298;4.977489;0.951
Vinciane Pirenne-Delforge;college_de_france;1963;Verviers;13;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;43.693687;4.632299;0.692
Dario Mantovani;college_de_france;1961;Milan;13;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;43.419298;4.977489;0.951
Samantha Besson;college_de_france;1973;Beyrouth;13;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;43.246632;5.401532;0.698
Jacques Tits;college_de_france;1930;Uccle;56;Morbihan;Bretagne;47.920746;-2.088213;0.31
Yves Coppens;college_de_france;1934;Vannes;56;Morbihan;Bretagne;47.659971;-2.752192;0.954
Nicole Le Douarin;college_de_france;1930;Lorient;56;Morbihan;Bretagne;47.750364;-3.378025;0.954
Manfred Kropp;college_de_france;1947;Ludwigshafen;56;Morbihan;Bretagne;47.747348;-3.391812;0.689
Bernard Chazelle;college_de_france;1955;Clamart;56;Morbihan;Bretagne;47.574557;-2.357271;0.958
Roland Barthes;college_de_france;1915;Cherbourg;50;Manche;Normandie;49.628684;-1.63324;0.864
Pierre Boulez;college_de_france;1925;Montbrison;42;Loire;Auvergne-Rhône-Alpes;45.604225;4.069547;0.948
Carlo  Ossola;college_de_france;1946;Turin;42;Loire;Auvergne-Rhône-Alpes;45.879242;4.25004;0.947
Jean-Pierre Changeux;college_de_france;1936;Domont;95;Val-d'Oise;Île-de-France;49.028712;2.327914;0.948
Yann Le Cun;college_de_france;1960;Soisy-sous-Montmorency;95;Val-d'Oise;Île-de-France;48.988538;2.301698;0.949
Claire Voisin;college_de_france;1962;Saint-Leu-la-Forêt;95;Val-d'Oise;Île-de-France;49.013301;2.242938;0.948
Pierre Bourdieu;college_de_france;1930;Denguin;64;Pyrénées-Atlantiques;Nouvelle-Aquitaine;43.366099;-0.506644;0.938
Edmond Malinvaud;college_de_france;1923;Limoges;87;Haute-Vienne;Nouvelle-Aquitaine;45.856159;1.221254;0.958
Joseph Schell;college_de_france;1935;Anvers;87;Haute-Vienne;Nouvelle-Aquitaine;45.746698;0.83742;0.941
Wolf Lepenies;college_de_france;1941;Allenstein;68;Haut-Rhin;Grand Est;47.753458;7.024429;0.339
Pierre Chambon;college_de_france;1931;Mulhouse;68;Haut-Rhin;Grand Est;47.749509;7.36973;0.964
Pierre Etienne Will;college_de_france;1944;Glay;63;Puy-de-Dôme;Auvergne-Rhône-Alpes;45.832238;3.663984;0.936
Yves Bréchet;college_de_france;1961;Chamalières;63;Puy-de-Dôme;Auvergne-Rhône-Alpes;45.774269;3.060492;0.949
