name;tag;dob;pob;dept_ob;dept_num;region;lat;lon;confidence;id
Jean-Paul Nunzi;parliament;1942;Agen;Lot-et-Garonne;47;Nouvelle-Aquitaine;44.202304;0.631041;0.951;5589
Pierre Larroque;parliament;1915;Meauzac;Tarn-et-Garonne;82;Occitanie;44.092219;1.230473;0.937;4371
Jean-Noël Carpentier;parliament;1969;Nanterre;Hauts-de-Seine;92;Île-de-France;48.898095;2.202314;0.956;18381
Christian Gourmelen;parliament;1940;Sainte-foy-la-grande;Gironde;33;Nouvelle-Aquitaine;44.840339;0.217463;0.94;3513
Michel Hamaide;parliament;1936;Paris 16;Paris;75;Île-de-France;48.856305;2.267032;0.868;11036
Paul Durieu;parliament;1947;Camaret;Vaucluse;84;Provence-Alpes-Côte d'Azur;44.155112;4.891334;0.851;18569
Georges Santoni;parliament;1915;Apt;Vaucluse;84;Provence-Alpes-Côte d'Azur;43.878798;5.376042;0.946;6283
Pierre Métais;parliament;1930;Couhé-vérac;foreign;foreign;foreign;;;;5224
Jacques Savatier;parliament;1952;Fontenay-le-comte;Vendée;85;Pays de la Loire;46.459821;-0.794159;0.947;19377
Guy Monjalon;parliament;1947;Lésigny-sur-creuse;foreign;foreign;foreign;;;;5344
Serge Beltrame;parliament;1944;Vesoul;Haute-Saône;70;Bourgogne-Franche-Comté;47.628692;6.157979;0.948;596
Christian Poncelet;parliament;1928;Blaise;Deux-Sèvres;79;Nouvelle-Aquitaine;46.229774;-0.518376;0.944;6412
Sylvain Brial;parliament;1964;Sigave;Wallis et Futuna;986;;-14.274;-178.158;0.937;19465
Kamilo Gata;parliament;1949;Futuna;Finistère;29;Bretagne;47.984312;-4.090632;0.695;3284
Jean, Jules, Eugène, Marie Chamant;parliament;1913;Chagny;Saône-et-Loire;71;Bourgogne-Franche-Comté;46.905365;4.75628;0.943;1612
