Date;Sens;Sicovam ou ISIN;Valeur;Sources;Manque & Commentaires
12/11/1997;Admission;13330;France Télécom;Avis SBF N°97-3543;Privatisation.
12/11/1997;Admission;12970;SGS Thomson Microelectronics;Avis SBF N°97-3543;Devenu STMicroelectronics.
22/12/1997;Retrait;12141;Compagnie Bancaire;Avis SBF N°97-4142;La Compagnie Financière de Paribas a lancé une OPE sur Cetelem et Compagnie Bancaire.
1998;;;;;
13/02/1998;Admission;12533;Cap Gémini;;
27/02/1998;Suspension;12592;AGF;Avis SBF N°98-729;
05/05/1998;Fin de suspension;12592;AGF;Avis SBF N°98-1672;
22/05/1998;Retrait;12188 ?;Havas;;
22/05/1998;Admission;12122;Sodexho;;
26/05/1998;Retrait;12510;Paribas (Cie Financière);Avis SBF N°98-2020;"Paribas (ex-Banque Paribas) absorbe la ""Compagnie Financière de Paribas""."
26/05/1998;Admission;12001;Paribas;Avis SBF N°98-2020;Retiré le 22/02/1999.
1999;;;;;
22/02/1999;Retrait;12001;Paribas;Avis SBF N°99-641 et 99-3796;OPE de la Société Générale.
03/03/1999;Retrait;13260;Usinor;;
03/03/1999;Admission;12558;Casino;;
25/05/1999;Retrait;12023;Sanofi;Avis SBF N°99-1870;Fusion-absorption de SANOFI et de SYNTHELABO par SANOFI-SYNTHELABO. Pour les conditions, voir les avis SBF N°99-1434 et avis SBF N°99-1919.
25/05/1999;Admission;12057;Sanofi Synthélabo;Avis SBF N°99-1870;
23/06/1999;Suspension;13080;Société Générale;Avis SBF N°99-2518;OPE de la BNP sur Société Générale et Paribas.
20/07/1999;Retrait;12096;BIC;Avis SBF N°99-3006;
20/07/1999;Admission;12701;Equant;Avis SBF N°99-3006;
07/09/1999;Fin de suspension;13080;Société Générale;Avis SBF N°99-3796;L'OPE de BNP a échoué !
07/09/1999;Admission;18420;Crédit Lyonnais;Avis SBF N°99-3796;
24/09/1999;Retrait;12042;Elf Aquitaine;"Suspension le 24/09/1999
Avis SBF N°99-4078
puis retrait le 29/10/1999
Avis SBF N°99-4748";OPE de TotalFina sur Elf Aquitaine.
24/09/1999;Retrait;12110;Promodès;"Avis SBF N°99-4078
Avis SBF N°99-4691";OPE de Carrefour sur Promodès.
25/10/1999;Retrait;13038;Dexia France;"Suspension le 25/10/1999
Avis SBF N°99-4564
puis retrait le 06/12/1999
Avis SBF N°99-5294";OPE de Dexia Belgium sur Dexia France.
29/10/1999;Retrait;12089;Eridania Beghin Say;Avis SBF N°99-4553;
29/10/1999;Admission;12050;Bouygues;Avis SBF N°99-4553;
05/11/1999;Admission;12019;Alstom;Avis SBF N°99-4691;Remplace Promodès.
05/11/1999;Admission;18379;Aerospatiale Matra;Avis SBF N°99-4748;Remplace Elf Aquitaine.
06/12/1999;Admission;12822;Dexia (ex DEXIA BELGIUM);Avis SBF N°99-5294;Remplace Dexia France.
2000;;;;;
10/05/2000;Retrait;12061;Legrand;Avis SBF N°2000-1847;
10/05/2000;Admission;5490;TF1;Avis SBF N°2000-1847;Remplace Legrand. Retirée fin 2005 suite à l'introduction d'EDF.
26/06/2000;Retrait;12570;CCF;Avis SBF N°2000-2735;OPE de HSBC.
10/07/2000;Retrait;18379;Aerospatiale Matra;"Avis SBF N°2000-2926
2000-2986";
10/07/2000;Admission;5730;EADS;"Avis SBF N°2000-2926
2000-2986";Se substitue à Aérospatiale Matra.
23/08/2000;Admission;18453;Thomson Multimédia;Avis SBF N°2000-3625;Retiré le 18/06/2007
11/12/2000;Retrait;12143;Vivendi;Avis SBF N°2000-5129;Fusion-absorption de Vivendi et Canal +.
11/12/2000;Retrait;12546;Canal +;"Avis SBF N°2000-5128
annulé par 2000-5131";
11/12/2000;Admission;12777;Vivendi Universal;Avis SBF N°2000-5129;Fusion-absorption de Vivendi et Canal + donne naissance à Vivendi Universal qui se substitue à Vivendi.
21/12/2000;Admission;13065;Dassault Systèmes;Avis SBF N°2000-5128;Remplace Canal +. Remplacé par Crédit Agricole le 06/08/2002.
2001;;;;;
04/05/2001;Retrait;12701;Equant;Avis SBF N°2001-1344;Remplacé par Orange.
04/05/2001;Admission;7919;Orange;Avis SBF N°2001-1344;Remplace Alstom
08/08/2001;Retrait;13033;Valéo;Avis SBF N°2001-2885;Remplacé par Vivendi Environnement
08/08/2001;Admission;12414;Vivendi Environnement;Avis SBF N°2001-2885;Remplace Valéo. Vivendi Environnement est devenu Veolia Environnement.
2002;;;;;
03/04/2002;Retrait;12019;Alstom;Avis SBF N°2002-1101;Remplacé par Vinci.
03/04/2002;Admission;12548;Vinci;Avis SBF N°2002-1101;Remplace Alstom.
06/08/2002;Retrait;13065;Dassault Systèmes;Avis SBF N°2002-2789;Remplacé par Crédit Agricole.
06/08/2002;Admission;4507;Crédit Agricole;Avis SBF N°2002-2789;Remplace Dassault Systèmes.
2003;;;;;
22/05/2003;Suspension;18420;Crédit Lyonnais;Avis SBF N°2003-1483;Suspension en raison de l'offre publique de Crédit Agricole.
07/09/2003;Retrait;18420;Crédit Lyonnais;;Retrait définitif
