name;tag;dob;pob;dept_ob;dept_num;region;lat;lon;confidence;id
Gabriel Lapeyrusse;depute;1907;Nérac;;;;;;;4343
Jean-Jacques Delmas;depute;1938;Mazieux;;;;;;;2315
Annette Chépy-Léger;depute;1953;Châlons-sur-marne;;;;;;;1764
Jean-Pierre Bouquet;depute;1951;Gray;;;;;;;1069
Bruno Bourg-Broc;depute;1945;Châlons-sur-marne;;;;;;;1079
Sylvie Pichot;depute;1955;Poissy;;;;;;;18580
Anchya Bamana;depute;1971;Sada;;;;;;;19891
Ibrahim Aboubacar;depute;1965;Fomboni;;;;;;;18330
André Rossinot;depute;1939;Briey;;;;;;;6099
Robert Richoux;depute;1914;Fumay;;;;;;;6749
Hubert Martin;depute;1912;Briey;;;;;;;5040
André, Marie, Antoine Droitcourt;depute;1932;Pange;;;;;;;2594
Jean Maurice Bernard;depute;1923;Brabant-lès-villers;;;;;;;683
Yves Allainmat;depute;1906;Kérity;;;;;;;86
Aloyse Warhouver;depute;1930;Hoff;;;;;;;7408
Gaetan Gorce;depute;1958;Luzy;;;;;;;3483
Stéphane Dermaux;depute;1929;Roncq;;;;;;;2406
Albert Maton;depute;1916;Fréneuse;;;;;;;5106
Astrid Panosyan-Bouvet;depute;1971;Paris;;;;;;;19758
Claire Vergnaud;depute;1930;Rouy;;;;;;;7311
Jacques Féron;depute;1912;Houilles;;;;;;;2963
François Porteu de la Morandière;depute;1928;Sèvres;;;;;;;6435
Louis Le Sénéchal;depute;1910;Berck-sur-mer;;;;;;;7622
Arthur, Léon Conte;depute;1920;Salses;;;;;;;1949
Tiffany Joncour;depute;1989;Lyon 8;;;;;;;19951
Pierre, Joseph, Antoine Morison;depute;1927;Retournac;;;;;;;5426
Xavier Hamelin;depute;1922;Lardin;;;;;;;3740
Jean-Marie Geveaux;depute;1947;Vion;;;;;;;3391
Daniel Boulay;depute;1946;La chapelle saint-rémy;;;;;;;1053
Guy-Michel Chauveau;depute;1944;Irais;;;;;;;1729
Pierre Hellier;depute;1942;Baud;;;;;;;3785
Guillaume Bachelay;depute;1974;Elbeuf-sur-seine;;;;;;;18619
Alain Le Vern;depute;1948;Portsall;;;;;;;7632
Daniel Paul;depute;1943;Plourivo;;;;;;;5721
Sylvie Bouchet Bellecourt;depute;1957;Bondy;;;;;;;19507
Ghislain Bray;depute;1946;Nangis;;;;;;;11026
Alain Peyrefitte;depute;1925;Najac;;;;;;;5862
Joël Regnault;depute;1949;Plaisir;;;;;;;18288
Pierre Régis;depute;1924;Le pecq;;;;;;;9085
Paul-Louis Tenaillon;depute;1921;Vélizy;;;;;;;6983
Olivier Lefèvre d'Ormesson;depute;1918;Biarritz;;;;;;;7697
Marcelle Delabie Née Herbelin;depute;1903;Gorcy;;;;;;;2242
Jean-Paul Nunzi;depute;1942;Agen;;;;;;;5589
Pierre Larroque;depute;1915;Meauzac;;;;;;;4371
Jean-Noël Carpentier;depute;1969;Nanterre;;;;;;;18381
Christian Gourmelen;depute;1940;Sainte-foy-la-grande;;;;;;;3513
Michel Hamaide;depute;1936;Paris 16;;;;;;;11036
Paul Durieu;depute;1947;Camaret;;;;;;;18569
Georges Santoni;depute;1915;Apt;;;;;;;6283
Pierre Métais;depute;1930;Couhé-vérac;;;;;;;5224
Jacques Savatier;depute;1952;Fontenay-le-comte;;;;;;;19377
Guy Monjalon;depute;1947;Lésigny-sur-creuse;;;;;;;5344
Serge Beltrame;depute;1944;Vesoul;;;;;;;596
Christian Poncelet;depute;1928;Blaise;;;;;;;6412
Sylvain Brial;depute;1964;Sigave;;;;;;;19465
Kamilo Gata;depute;1949;Futuna;;;;;;;3284
Jean, Jules, Eugène, Marie Chamant;depute;1913;Chagny;;;;;;;1612
