pob;dept_num;median;gini
Torcieu;1421;22620;
Tossiat;1422;26180;
Toussieux;1423;27870;
Tramoyes;1424;31610;
La Tranclière;1425;25050;
Val-Revermont;1426;24280;0.253
Trévoux;1427;23920;0.251
Valeins;1428;23780;
Vandeins;1429;24170;
Varambon;1430;23800;
Vaux-en-Bugey;1431;25240;
Verjon;1432;23640;
Vernoux;1433;20450;
Versailleux;1434;25730;
Versonnex;1435;38970;0.4
Vesancy;1436;45200;
Vescours;1437;23090;
Vésines;1439;;
Vieu-d'Izenave;1441;23450;
Villars-les-Dombes;1443;24480;0.213
Villebois;1444;22700;
Villemotier;1445;23580;
Villeneuve;1446;26440;
Villereversure;1447;23600;
Villes;1448;30500;
Villette-sur-Ain;1449;26020;
Villieu-Loyes-Mollon;1450;26810;0.223
Viriat;1451;25470;0.226
Virieu-le-Grand;1452;20600;
Arvière-en-Valromey;1453;22830;
Virignin;1454;24130;
Vongnes;1456;;
Vonnas;1457;22000;0.242
Abbécourt;2001;21150;
Achery;2002;22340;
Acy;2003;23020;
Agnicourt-et-Séchelles;2004;20880;
Aguilcourt;2005;24020;
Aisonville-et-Bernoville;2006;21910;
Aizelles;2007;22340;
Aizy-Jouy;2008;21950;
Alaincourt;2009;22980;
Allemant;2010;21980;
Ambleny;2011;24380;
Ambrief;2012;;
Amifontaine;2013;23230;
Amigny-Rouy;2014;23040;
Ancienville;2015;;
Andelain;2016;21900;
Anguilcourt-le-Sart;2017;21630;
Anizy-le-Grand;2018;20610;0.239
Annois;2019;21860;
Any-Martin-Rieux;2020;19970;
Archon;2021;;
Arcy-Sainte-Restitue;2022;23140;
Armentières-sur-Ourcq;2023;22610;
Arrancy;2024;;
Artemps;2025;23930;
Assis-sur-Serre;2027;19990;
Athies-sous-Laon;2028;22820;0.213
Attilly;2029;24790;
Aubencheul-aux-Bois;2030;22440;
Aubenton;2031;18600;
Aubigny-aux-Kaisnes;2032;20000;
Aubigny-en-Laonnois;2033;26440;
Audignicourt;2034;21270;
Audigny;2035;19950;
Augy;2036;;
Aulnois-sous-Laon;2037;21970;
Les Autels;2038;;
Autremencourt;2039;20530;
Autreppes;2040;21270;
Autreville;2041;23160;
Azy-sur-Marne;2042;23970;
Bagneux;2043;;
Bancigny;2044;;
Barenton-Bugny;2046;23250;
Barenton-Cel;2047;23580;
Barenton-sur-Serre;2048;22840;
Barisis-aux-Bois;2049;23500;
