name,tag,dob,pob
Dominique Marcel,executive,Not found,Not found
Bruno Flichy,executive,Not found,Not found
Thérèse Cornil,executive,Not found,Not found
Jean Gilet,executive,Not found,Not found
Jean Rovarato,executive,Not found,Not found
Gildas Gouvazé,executive,Not found,Not found
Michel Giannuzzi,executive,Not found,Not found
Celine Fornaro,executive,Not found,Not found
Marie-claire Daveu,executive,Not found,Not found
Magali Viot,executive,Not found,Not found
Yoan Kosnar,executive,Not found,Not found
Catherine Macgregor,executive,Not found,Not found
Jean Clamadieu,executive,Not found,Not found
Ross Mc-Innes,executive,Not found,Not found
Christophe Agogue,executive,Not found,Not found
Fabrice Bregier,executive,1961,Dijon
Lucie Muniesa,executive,Not found,Not found
Patrice Durand,executive,Not found,Not found
Marie-jose Nadeau,executive,Not found,Not found
Jacinthe Delage,executive,Not found,Not found
Peter Ricketts,executive,1952,Royal Sutton Coldfield
Francoise Malrieu,executive,Not found,Not found
Marie Jego-Laveissiere,executive,Not found,Not found
Alain Beullier,executive,Not found,Not found
Philippe Lepage,executive,Not found,Not found
Christophe Aubert,executive,Not found,Not found
Isabelle Bui-Khoi-Hung,executive,Not found,Not found
Aldo Cardoso,executive,1956,Unknown
Edmond Alphandery,executive,1943,Avignon
Ann Achleitner,executive,Not found,Not found
Catherine Guillouard,executive,Not found,Not found
Barbara Kux,executive,Not found,Not found
Stephane Pallez,executive,Not found,Not found
Olivier Marquer,executive,Not found,Not found
Caroline Simon,executive,Not found,Not found
Gérard Mestrallet,executive,Not found,Not found
Isabelle Kocher,executive,Not found,Not found
Claire Waysand,executive,Not found,Not found
Stéphanie Besnier,executive,Not found,Not found
Francesco Milleri,executive,Not found,Not found
Mario Notari,executive,Not found,Not found
Virginie Pitre,executive,Not found,Not found
Sebastien Brown,executive,Not found,Not found
Margot Bard,executive,Not found,Not found
Marie-christine Roquette,executive,Not found,Not found
Jose Gonzalo,executive,Not found,Not found
Nathalie Von-Siemens,executive,Not found,Not found
Andrea Zappia,executive,Not found,Not found
Swati Piramal,executive,1956,Unknown
Jean-luc Biamonti,executive,Not found,Not found
Paul De-Lasteyrie-Du-Saillant-De-Comborn,executive,Not found,Not found
Cristina Scocchia,executive,Not found,Not found
Romolo Bardin,executive,Not found,Not found
Leonardo Del-Vecchio,executive,Not found,Not found
Ascencao Pereira,executive,Not found,Not found
Delphine Zablocki,executive,Not found,Not found
Juliette Favre,executive,Not found,Not found
Gianni Mion,executive,Not found,Not found
Giovanni Giallombardo,executive,Not found,Not found
Sabrina Pucci,executive,Not found,Not found
Lucia Morselli,executive,Not found,Not found
Jeanette Wong,executive,Not found,Not found
Olivier Pecoux,executive,Not found,Not found
Annette Messemer,executive,Not found,Not found
Laurent Vacherot,executive,Not found,Not found
Bernard Hours,executive,Not found,Not found
Philippe Alfroid,executive,Not found,Not found
Marc Onetto,executive,Not found,Not found
Antoine De-Saint-Affrique,executive,Not found,Not found
Louise Frechette,executive,Not found,Not found
Maureen Cavanagh,executive,Not found,Not found
Henrietta Fore,executive,Not found,Not found
Yi He,executive,Not found,Not found
