name;tag;dob;pob;dept_ob;dep_num;region;lat;lon;confidence;id
Virginie Lanlo;depute;1968;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;19864
Marie-Hélène Amiable;depute;1960;Paris 11;Paris;75;Île-de-France;48.86030960083008;2.3786137104034424;0.473;17216
Pierre-Christophe Baguet;depute;1955;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;334
Nicolas Sarkozy;depute;1955;Paris 17;Paris;75;Île-de-France;48.88784408569336;2.3070974349975586;0.473;6289
Christian Dupuy;depute;1950;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;2735
Jacqueline Fraysse;depute;1947;Paris 12;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;3139
Jean-Pierre Stirbois;depute;1945;Paris 18;Paris;75;Île-de-France;48.8870221;2.3478318;0.473;6909
Michel Thauvin;depute;1943;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;11055
Jean-Pierre Schosteck;depute;1942;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;17424
André Santini;depute;1940;Paris 14;Paris;75;Île-de-France;48.83161926269531;2.3244473934173584;0.473;6282
Jacques Kossowski;depute;1940;Paris 14;Paris;75;Île-de-France;48.83161926269531;2.3244473934173584;0.473;4152
Georges Le Baill;depute;1939;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;7542
Jacques Brunhes;depute;1934;Paris 4;Paris;75;Île-de-France;48.854515075683594;2.3588101863861084;0.473;1291
Florence d'Harcourt;depute;1929;Paris 16;Paris;75;Île-de-France;48.86101150512695;2.2834136486053467;0.473;3749
Henri Ginoux;depute;1909;Paris 14;Paris;75;Île-de-France;48.83161926269531;2.3244473934173584;0.473;3417
Emile, Henri Tricon;depute;1908;Paris 10;Paris;75;Île-de-France;48.87582778930664;2.360285758972168;0.473;7155
Robert Lecou;depute;1950;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;10716
Alain Barrau;depute;1947;Paris 14;Paris;75;Île-de-France;48.83161926269531;2.3244473934173584;0.473;430
Pierre Leroy-Beaulieu;depute;1928;Paris 16;Paris;75;Île-de-France;48.86101150512695;2.2834136486053467;0.459;7804
Pierre Arraut;depute;1910;Paris 15;Paris;75;Île-de-France;48.84374237060547;2.2927637100219727;0.473;207
André Valabrègue;depute;1903;Paris 16;Paris;75;Île-de-France;48.86101150512695;2.2834136486053467;0.473;7262
Jules Moch;depute;1893;Paris 16;Paris;75;Île-de-France;48.86101150512695;2.2834136486053467;0.473;5316
Laurence Maillart-Méhaignerie;depute;1967;Paris 12;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.459;19262
Jean-Gilles Berthommier;depute;1948;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;734
Alain Madelin;depute;1946;Paris 12;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;4872
Michel Cointat;depute;1921;Paris 10;Paris;75;Île-de-France;48.87582778930664;2.360285758972168;0.473;1887
Nicolas Forissier;depute;1961;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;3059
André Laignel;depute;1942;Paris 14;Paris;75;Île-de-France;48.83161926269531;2.3244473934173584;0.473;4276
Sophie Métadier;depute;1961;Paris;Paris;75;Île-de-France;48.859;2.347;0.97;19540
Pascal Ménage;depute;1960;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;13043
Marisol Touraine;depute;1959;Paris 13;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;7110
Daniel Labaronne;depute;1955;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;19220
Hervé Novelli;depute;1949;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;5585
Michèle Beuzelin Née Agis-Garcin;depute;1939;Paris 15;Paris;75;Île-de-France;48.84374237060547;2.2927637100219727;0.473;773
Thierry Perez;depute;1966;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;19987
Philippe Langenieux-Villard;depute;1955;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;4333
Monique Limon;depute;1953;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;19252
Bruno Megret;depute;1949;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;5160
Richard Cazenave;depute;1948;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;1561
Louis Mermaz;depute;1931;Paris 12;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;5210
Jean Giard;depute;1926;Paris 6;Paris;75;Île-de-France;48.85261154174805;2.3332111835479736;0.473;3402
Hubert Dubedout;depute;1922;Paris 12;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;2608
Jean-Marcel Jeanneney;depute;1910;Paris 7;Paris;75;Île-de-France;48.857215881347656;2.3098840713500977;0.473;4023
Pierre, Isaac, Isidore Mendès France;depute;1907;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;5176
Jacques Duhamel;depute;1924;Paris 6;Paris;75;Île-de-France;48.85261154174805;2.3332111835479736;0.473;2684
Michel Debré;depute;1912;Paris 7;Paris;75;Île-de-France;48.857215881347656;2.3098840713500977;0.473;2196
Marc Fesneau;depute;1971;Paris 15;Paris;75;Île-de-France;48.84374237060547;2.2927637100219727;0.459;19152
Nicolas Perruchot;depute;1966;Paris 13;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.459;10747
Maurice Leroy;depute;1959;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;7800
Pierre Sudreau;depute;1919;Paris 9;Paris;75;Île-de-France;48.872615814208984;2.340359926223755;0.473;6918
Pierre Comte-Offenbach;depute;1910;Paris 9;Paris;75;Île-de-France;48.872615814208984;2.340359926223755;0.473;1935
Serge Grouard;depute;1959;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;10691
Claude De Ganay;depute;1953;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;18429
Eric Doligé;depute;1943;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;2536
Jean-Pierre Lapaire;depute;1942;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;4342
Jacques Douffiagues;depute;1941;Paris 13;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;2567
Xavier Deniau;depute;1923;Paris 6;Paris;75;Île-de-France;48.85261154174805;2.3332111835479736;0.473;2372
