name;tag;dob;pob
Louis Boyer;senat;1921;Castillon-la-Bataille
Valérie Boyer;senat;1962;Bourges
Yolande Boyer;senat;1950;Toulouse
Jacques Boyer-Andrivet;senat;1918;Saint-Pey-de-Castets
Jacques Braconnier;senat;1924;Saint-Quentin
Jean Brajeux;senat;1899;Not found
Jean-Guy Branger;senat;1935;Cabariot
Pierre Brantus;senat;1921;Unknown
Jean-Luc Brault;senat;1950;Saint-Aignan-sur-Cher
Gérard Braun;senat;1937;Lunéville
Joseph Brayard;senat;1901;Vescours
Dominique Braye;senat;1947;Lyon
Marcel Bregegere;senat;1900;Not found
Robert Bret;senat;1949;Marseille
Daniel Breuiller;senat;1953;Unknown
Sophie Briante Guillemont;senat;1991;Buenos Aires
Nicole Bricq;senat;1947;La Rochefoucauld
Isabelle Briquet;senat;1967;Unknown
Paulette Brisepierre;senat;1917;Bordeaux
Max Brisson;senat;1957;Bayonne
Louis Brives;senat;1912;Assier
Ian Brossat;senat;1980;Fontenay-aux-Roses
Raymond Brosseau;senat;1915;La Flocellière
Colombe Brossel;senat;1976;Paris 14
Martial Brousse;senat;1899;Not found
Pierre Brousse;senat;1926;Limoges
Marie-Thérèse Bruguière;senat;1942;Mauguio
Céline Brulin;senat;1970;Unknown
Elie Brun;senat;1948;Périgueux
Pierre Brun;senat;1900;Paris 16
Raymond Brun;senat;1915;Audenge
André Bruneau;senat;1901;Beaumont-sur-Sarthe
Julien Brunhes;senat;1900;Clermont-Ferrand
Florian Bruyas;senat;1901;Lyon 2
Christian Bruyen;senat;1959;Épernay
Robert Bruyneel;senat;1905;Lille
François-Noël Buffet;senat;1963;Lyon
Bernard Buis;senat;1956;Unknown
Gabriel Burgat;senat;1899;Souk Ahras
Laurent Burgoa;senat;1969;Nîmes
Robert Burret;senat;1906;Camalès
Frédéric Buval;senat;1951;Unknown
Camille Cabana;senat;1930;Elne
Guy-Pierre Cabanel;senat;1927;Alger
Henri Cabanel;senat;1959;Béziers
Muriel Cabaret;senat;1955;Paris 6
Rémi Cabocel;senat;1926;Lezey
Alain Cadec;senat;1953;Saint-Brieuc
Olivier Cadic;senat;1962;Clichy
Jean-Pierre Caffet;senat;1951;Alger
Henri Caillavet;senat;1914;Agen
Louis Caiveau;senat;1924;Saint-Hilaire-de-Riez
Michel Caldaguès;senat;1926;Paris 8
Robert Calméjane;senat;1929;Paris 6
Gabriel Calmels;senat;1899;Not found
François Calvet;senat;1953;Perpignan
Pierre Camani;senat;1952;Saint-Léger
Guislain Cambier;senat;1971;Marly
Christian Cambon;senat;1948;Saint-Mandé
Jean-Pierre Camoin;senat;1942;La Ciotat
Claire-Lise Campion;senat;1951;Boulogne-Billancourt
Marion Canalès;senat;1980;Unknown
Agnès Canayer;senat;1965;Sainte-Adresse
Michel Canévet;senat;1960;Pont-l'Abbé
Jean-Pierre Cantegrit;senat;1933;Rouffiac
Omer Capelle;senat;1899;Not found
Vincent Capo-Canellas;senat;1967;Nîmes
Emmanuel Capus;senat;1974;Unknown
Jacques Carat;senat;1919;Unknown
Roger Carcassonne;senat;1903;Salon-de-Provence
